Invoice ID,Date,Time,Gender,Location,City,Member,Category,Price,Quantity,Total,Payment,Rating
460489604,1/25/2018,16:46,Male,Brookfield,NewYork,Yes,Groceries,30,1,30,Cash,2
471006167,3/19/2018,16:48,Female,Water tower,Chicago,Yes,Fashion,35,5,175,Card,3
411909258,2/25/2018,13:33,Male,Water tower,Chicago,No,Clothing,57,2,114,Cash,5
487313402,1/22/2018,13:38,Female,Park lane,Dallas,Yes,Sporting,89,4,356,Gpay,1
197763430,2/18/2018,15:31,Female,Park lane,Dallas,No,Books,82,5,410,Cash,4
263634050,3/9/2018,17:55,Male,Brookfield,NewYork,Yes,Clothing,52,4,208,Gpay,3
99646662,3/4/2018,13:21,Male,Water tower,Chicago,No,Clothing,81,3,243,Cash,4
188869875,3/8/2018,13:24,Male,Park lane,Dallas,No,Books,80,2,160,Cash,3
325637547,1/18/2018,15:33,Male,Park lane,Dallas,Yes,Clothing,91,3,273,Card,3
562942936,2/24/2018,16:05,Female,Park lane,Dallas,No,Books,80,2,160,Cash,4
388412668,2/26/2018,11:32,Female,Brookfield,NewYork,No,Furniture,35,4,140,Gpay,4
846531724,3/15/2018,12:12,Male,Park lane,Dallas,No,Sporting,22,5,110,Card,4
149894432,1/12/2018,11:12,Male,Park lane,Dallas,No,Clothing,77,5,385,Cash,4
942406749,1/18/2018,15:20,Female,Water tower,Chicago,Yes,Clothing,9,6,54,Gpay,5
547572603,3/21/2018,13:23,Female,Brookfield,NewYork,No,Fashion,98,7,686,Gpay,3
355981315,2/15/2018,15:47,Female,Brookfield,NewYork,Yes,Clothing,78,5,390,Card,5
397754805,2/9/2018,15:59,Female,Brookfield,NewYork,Yes,Sporting,35,7,245,Gpay,1
90524319,3/19/2018,18:18,Male,Park lane,Dallas,Yes,Clothing,23,1,23,Cash,3
542144906,2/6/2018,10:58,Female,Brookfield,NewYork,Yes,Fashion,33,5,165,Gpay,2
729486362,3/7/2018,12:50,Male,Water tower,Chicago,No,Groceries,39,4,156,Cash,3
619639105,3/26/2018,19:48,Female,Brookfield,NewYork,No,Groceries,44,6,264,Cash,1
443198801,2/24/2018,19:31,Female,Brookfield,NewYork,No,Clothing,48,5,240,Card,5
761515143,1/15/2018,16:08,Female,Park lane,Dallas,No,Groceries,23,1,23,Gpay,3
56578535,3/23/2018,10:11,Male,Water tower,Chicago,Yes,Groceries,24,1,24,Gpay,2
834838148,2/15/2018,13:00,Male,Brookfield,NewYork,Yes,Groceries,12,4,48,Card,1
833288071,1/25/2018,15:02,Male,Water tower,Chicago,No,Sporting,16,5,80,Gpay,2
508614950,1/24/2018,16:47,Female,Park lane,Dallas,No,Sporting,38,2,76,Cash,4
103072863,3/12/2018,11:57,Male,Water tower,Chicago,No,Groceries,41,6,246,Card,5
355815500,1/20/2018,15:09,Female,Park lane,Dallas,Yes,Furniture,16,6,96,Card,2
193855414,3/4/2018,12:04,Female,Brookfield,NewYork,Yes,Clothing,51,4,204,Card,2
600792216,3/6/2018,17:04,Male,Park lane,Dallas,Yes,Clothing,42,7,294,Card,5
567867755,2/3/2018,20:59,Female,Brookfield,NewYork,No,Furniture,86,3,258,Cash,2
597934753,3/26/2018,16:46,Female,Brookfield,NewYork,No,Clothing,19,6,114,Card,3
419033295,3/24/2018,15:57,Male,Water tower,Chicago,Yes,Furniture,68,2,136,Gpay,4
8795029,1/19/2018,17:03,Female,Brookfield,NewYork,No,Clothing,4,2,8,Card,2
912473338,2/25/2018,11:27,Male,Park lane,Dallas,No,Sporting,41,7,287,Gpay,1
209725428,3/20/2018,12:45,Female,Water tower,Chicago,Yes,Sporting,79,7,553,Gpay,1
460044751,2/22/2018,16:20,Male,Brookfield,NewYork,No,Fashion,45,5,225,Cash,4
191736512,2/14/2018,14:13,Female,Park lane,Dallas,No,Sporting,60,6,360,Cash,1
979973145,1/14/2018,19:26,Female,Brookfield,NewYork,Yes,Sporting,79,4,316,Gpay,4
43371182,1/28/2018,19:24,Male,Park lane,Dallas,Yes,Clothing,75,7,525,Cash,2
613811022,1/9/2018,20:55,Male,Water tower,Chicago,No,Clothing,24,7,168,Cash,4
673603546,3/26/2018,10:11,Female,Water tower,Chicago,No,Groceries,40,5,200,Gpay,1
328132417,1/3/2018,19:01,Female,Water tower,Chicago,No,Fashion,9,2,18,Cash,2
325924536,3/4/2018,10:38,Female,Park lane,Dallas,No,Clothing,16,7,112,Gpay,3
747705702,2/7/2018,13:57,Male,Brookfield,NewYork,Yes,Books,31,5,155,Gpay,1
450817216,2/7/2018,10:57,Female,Water tower,Chicago,Yes,Furniture,79,7,553,Gpay,4
315624039,3/30/2018,19:45,Female,Water tower,Chicago,Yes,Groceries,99,7,693,Gpay,3
888822600,1/12/2018,19:49,Female,Water tower,Chicago,No,Groceries,4,2,8,Card,5
896399395,2/15/2018,14:36,Male,Park lane,Dallas,Yes,Clothing,26,7,182,Cash,2
20548577,1/7/2018,14:00,Male,Park lane,Dallas,Yes,Furniture,43,2,86,Gpay,5
500850764,3/19/2018,14:04,Female,Water tower,Chicago,No,Groceries,67,1,67,Gpay,1
466598448,2/2/2018,18:50,Female,Brookfield,NewYork,No,Books,78,7,546,Gpay,5
265371038,2/26/2018,13:53,Male,Brookfield,NewYork,Yes,Sporting,29,1,29,Card,4
175938157,3/28/2018,12:58,Female,Brookfield,NewYork,Yes,Fashion,62,4,248,Gpay,5
839600262,1/5/2018,19:30,Female,Park lane,Dallas,Yes,Groceries,32,2,64,Cash,1
885253494,3/24/2018,12:52,Male,Park lane,Dallas,Yes,Sporting,53,1,53,Gpay,4
180545139,3/14/2018,10:46,Female,Brookfield,NewYork,Yes,Clothing,87,7,609,Gpay,1
227063423,1/16/2018,16:38,Male,Water tower,Chicago,No,Books,47,4,188,Gpay,3
500777576,3/22/2018,12:22,Female,Water tower,Chicago,No,Sporting,60,7,420,Gpay,5
426576006,1/22/2018,17:34,Female,Brookfield,NewYork,No,Sporting,21,1,21,Gpay,5
934647292,1/18/2018,11:26,Male,Water tower,Chicago,No,Fashion,59,6,354,Cash,4
975443414,3/30/2018,12:58,Male,Park lane,Dallas,No,Groceries,23,3,69,Card,2
858716993,2/3/2018,17:38,Male,Water tower,Chicago,Yes,Furniture,56,4,224,Gpay,4
